Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-06-13,Children of Men,2006,https://boxd.it/9YNs6B,4.5,,"A hope in a hopeless world..!!

Watching Children of Men felt less like science fiction and more like a quiet warning. Cuarón builds a world in a near dystopian where humanity’s infertility mirrors a deeper loss of empathy, hope, and purpose. Clive Owen’s character, not a hero, just someone numb, trying to care again. The long, unbroken shots pulled me straight into the chaos. It’s bleak, yes, but somehow,quietly still human.",,2025-06-12
2025-06-14,Roja,1992,https://boxd.it/9Zsez7,3,,"I love the soundtrack of it.🤗
It's so beautiful and love to listening to it even after movie is over.
A. R. Rahman kudos to u. But at the same time screenplay seems like WTF.
Now only Bombay left in terrorist trilogy.",,2025-06-13
2025-06-16,Nayakan,1987,https://boxd.it/a0Ji1B,5,,"<b>Was he a good man or a bad one?</b>

Maybe he wasn’t either. Maybe he was just human—trying to survive a world that never gave him a choice.

A haunting saga of power, pain, and purpose. Kamal Haasan delivers one of Indian cinema’s finest performances, breathing soul into Velu Naicker with heartbreaking realism. The film doesn't just echo The Godfather—it becomes its own epic, rooted deeply in the streets of Bombay and the heart of a man torn between justice and violence. Mani Ratnam crafts a masterpiece that lingers long after the credits roll.",,2025-06-15
2025-06-17,Ballerina,2025,https://boxd.it/a1sDFR,4,,"<b>Ana de Armas..😍😍

We already had Baba Yaga and now we got Mama yaga.</b>

What an action movie, but at the same time story was so basic. but john wick franchise rely on action not on story. And keenu reves's cameo was also not wasted. And each time we think what new they gonna do with action, but they prove us wrong each time. And I love how she use grandes instead of bullets.",,2025-06-16
2025-06-19,Terrifier 3,2024,https://boxd.it/a2KUdb,3,,"Me: this is too much, now I m done.
Also me: googling Terrifier 4 release date..👍🏻👍🏻",,2025-06-18
2025-06-19,Whiplash,2014,https://boxd.it/a3bwfV,5,Yes,"<blockquote><i>""Adjusting the seat, really?... that's been your fucking problem the whole time, the seat height..?""
</i>

""And here comes mister gay pride of upper West side himself""</blockquote>This is how perfection looks.
I would allow whiplash to peg me.

As i re-watching this, I really loving yellow colour more and more. This movie is like a violent love Letter to obsession. And that last 9 minutes solo drum..no dialogue. Just the rhythm of madness. You watch it and you don't breath for straight 9 minutes.
And final shot, Andrew and fletcher's eyes locked. One smirking with pride. The other drenched in glory and madness.

AND THEN-- BLACK SCREEN.",,2025-06-19
2025-06-22,Deewaar,1975,https://boxd.it/a4FaUV,5,Yes,"""<i>Aaj khush to bahot hoge tum..</i>"" ⚡⚡
""<i>Me Aaj bhi pheke hue paise nahi uthata</i>""🗿🗿
""<i>Mere pass MAA he..</i>""❤️❤️
""<i>Mera baap chor he</i>""👍🏻👍🏻

<b>A big shout out to Salim-Javed</b>",,2025-06-21
2025-06-29,Return Of Hanuman,2007,https://boxd.it/a9MOlb,5,,"Some say <i>Gangs of Wasseypur</i> and some say <i>No Smoking </i>but this is the best movie directed by <b>Anurag Kashyap.

It's still as GOAT as I watched it first time.⚡⚡
</b>",,2025-06-29
2025-06-30,Two,1965,https://boxd.it/aaz4Gb,5,,"No words. Just silence, privilege and a haunting message. 🎭

Ray turns simple face off between a rich kid and a poor boy into a quite war of pride. The rich kid ""wins"", but at what cost..?? The poor child's flute is silenced...and in the end, even rich kid's toy falls. Lifeless and forgotten.

<b>Power born from privilege can be loud, but never meaningful.</b>",,2025-06-30
2025-07-02,F1,2025,https://boxd.it/abnt6n,5,,"This wasn't a movie. It was an experience.
The vibration in seats, the screams of engines, Zinmer's score punching- pure adrenaline rush.

All watching it all unfold in IMAX..? Absolutely wild.

One of the best theater experience I have had.","theater, pvr, imax",2025-07-01
