Date,Name,Year,Letterboxd URI,Rating
2024-12-30,Zodiac,2007,https://boxd.it/27MO,4.5
2024-12-30,Top Gun: Maverick,2022,https://boxd.it/cjr4,5
2024-12-30,Gangs of Wasseypur – Part 1,2012,https://boxd.it/3UHK,5
2024-12-30,Gangs of Wasseypur – Part 2,2012,https://boxd.it/497i,5
2024-12-30,Back to the Future,1985,https://boxd.it/2b8e,5
2024-12-30,Psycho,1960,https://boxd.it/2ab2,5
2024-12-30,Kill,2023,https://boxd.it/HTqS,5
2024-12-30,Inception,2010,https://boxd.it/1skk,5
2024-12-30,The Prestige,2006,https://boxd.it/293w,5
2024-12-30,Arrival,2016,https://boxd.it/aNGk,5
2024-12-30,The Wolf of Wall Street,2013,https://boxd.it/3C1m,5
2024-12-30,Shutter Island,2010,https://boxd.it/1U82,5
2024-12-30,Fight Club,1999,https://boxd.it/2a9q,5
2024-12-30,The Sixth Sense,1999,https://boxd.it/29Js,4
2024-12-30,Saving Private Ryan,1998,https://boxd.it/29ro,5
2024-12-30,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2024-12-30,The Shining,1980,https://boxd.it/29Nu,4.5
2024-12-30,Taxi Driver,1976,https://boxd.it/2b8y,4.5
2025-01-01,96,2018,https://boxd.it/fHYM,5
2025-01-01,Teri Baaton Mein Aisa Uljha Jiya,2024,https://boxd.it/FXqS,3.5
2025-01-01,Iratta,2023,https://boxd.it/zELA,4
2025-01-01,Sardar Udham,2021,https://boxd.it/m5kS,4
2025-01-01,Her,2013,https://boxd.it/4O24,4.5
2025-01-01,Kaun?,1999,https://boxd.it/4y6Y,5
2025-01-01,Rocky,1976,https://boxd.it/28Uk,4
2025-01-04,Sapta Sagaradaache Ello – Side A,2023,https://boxd.it/IhOY,5
2025-01-06,Maidaan,2024,https://boxd.it/oSFO,4.5
2025-01-06,Jigarthanda DoubleX,2023,https://boxd.it/C4xI,4
2025-01-06,All We Imagine as Light,2024,https://boxd.it/yXaQ,3.5
2025-01-12,The Handmaiden,2016,https://boxd.it/948A,4.5
2025-01-18,Thangalaan,2024,https://boxd.it/yiKI,3.5
2025-01-19,The Skin I Live In,2011,https://boxd.it/99A,4
2025-01-19,Satya,1998,https://boxd.it/1BNq,5
2025-01-20,Nightcrawler,2014,https://boxd.it/780m,4.5
2025-01-21,UI,2024,https://boxd.it/Bcyi,1.5
2025-01-25,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,4.5
2025-01-29,Lakshya,2004,https://boxd.it/1Ckk,4
2025-01-30,Coco,2017,https://boxd.it/bYJQ,5
2025-02-01,Phir Bhi Dil Hai Hindustani,2000,https://boxd.it/3mxG,3.5
2025-02-02,Gujjubhai The Great,2015,https://boxd.it/chM0,5
2025-02-02,The Terminal,2004,https://boxd.it/2a2O,4.5
2025-02-03,Seven Samurai,1954,https://boxd.it/2axi,4.5
2025-02-05,Climax,2018,https://boxd.it/ikvo,3.5
2025-02-07,Toolsidas Junior,2022,https://boxd.it/t7O0,3.5
2025-02-08,The Autopsy of Jane Doe,2016,https://boxd.it/dUu2,3
2025-02-09,City Lights,1931,https://boxd.it/29ki,5
2025-02-10,RRR: Behind & Beyond,2024,https://boxd.it/RT3O,3.5
2025-02-10,Moana 2,2024,https://boxd.it/LcjW,3
2025-02-16,The Polar Express,2004,https://boxd.it/23am,3.5
2025-02-16,Apocalypse Now,1979,https://boxd.it/6ZS,4
2025-02-16,1917,2019,https://boxd.it/jj4y,5
2025-02-17,Kati Patang,1971,https://boxd.it/afBq,4
2025-02-20,Dil Se..,1998,https://boxd.it/1CgC,3
2025-02-23,Padosan,1968,https://boxd.it/1DaU,3.5
2025-02-26,Mufasa: The Lion King,2024,https://boxd.it/sE9C,3.5
2025-02-27,Heat,1995,https://boxd.it/2bg8,4
2025-02-27,Jaws,1975,https://boxd.it/2a5e,4
2025-02-28,WALL·E,2008,https://boxd.it/1VEo,4.5
2025-03-02,La Belle Noiseuse,1991,https://boxd.it/1RxI,3.5
2025-03-02,Amar Prem,1972,https://boxd.it/1ngW,4
2025-03-05,Gulaal,2009,https://boxd.it/1BAw,3.5
2025-03-07,August Underground,2001,https://boxd.it/1wT4,1
2025-03-08,Cannibal Holocaust,1980,https://boxd.it/1ZWQ,2
2025-03-08,Grotesque,2009,https://boxd.it/1s76,1.5
2025-03-09,Flow,2024,https://boxd.it/v1Ei,3.5
2025-03-10,Kill Bill: Vol. 1,2003,https://boxd.it/70w,5
2025-03-10,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,4.5
2025-03-11,The Notebook,2004,https://boxd.it/1UNE,4
2025-03-15,Ankhon Dekhi,2013,https://boxd.it/76UC,3.5
2025-03-15,A Trip to the Moon,1902,https://boxd.it/29EC,4
2025-03-15,About Time,2013,https://boxd.it/43bI,5
2025-03-16,White Nights,1960,https://boxd.it/jiaK,5
2025-03-16,Luck by Chance,2009,https://boxd.it/1Kja,4
2025-03-18,Shaurya,2008,https://boxd.it/1GD6,3.5
2025-03-19,Reva,2018,https://boxd.it/mAse,5
2025-03-21,Late Night with the Devil,2023,https://boxd.it/zo6G,2.5
2025-03-22,Adolescence,2025,https://boxd.it/TFGw,4
2025-03-23,Mr. & Mrs. '55,1955,https://boxd.it/7Tw,4
2025-03-25,Little Women,2019,https://boxd.it/aSVk,4
