Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-04-21,Superboys of Malegaon,2024,https://boxd.it/9t7T4T,4.5,,,2025-04-20
2025-04-23,Barry Lyndon,1975,https://boxd.it/9uwDtd,4,,,2025-04-23
2025-04-24,Court: State vs. A Nobody,2025,https://boxd.it/9v6zoF,4,,,2025-04-24
2025-04-27,Sinners,2025,https://boxd.it/9wMC2b,5,,"theater, pvr, imax",2025-04-27
2025-04-28,Y Tu Mamá También,2001,https://boxd.it/9xkbmL,4,,,2025-04-27
2025-04-29,Supermen of Malegaon,2008,https://boxd.it/9y1dN1,5,,,2025-04-28
2025-04-30,Malena,2000,https://boxd.it/9yCRHV,4.5,,,2025-04-30
2025-05-04,Umbarro,2025,https://boxd.it/9ANOM9,4,,,2025-05-04
2025-05-05,Crash,1996,https://boxd.it/9Bmifn,3.5,,,2025-05-04
2025-05-05,Anatomy of Hell,2004,https://boxd.it/9BnNE1,1.5,,,2025-05-04
2025-05-06,The Girl Next Door,2004,https://boxd.it/9Ci6Dj,3.5,,,2025-05-06
2025-05-07,Superbad,2007,https://boxd.it/9CS0zd,4,,,2025-05-07
2025-05-09,Kink,2013,https://boxd.it/9E5WsJ,3,,,2025-05-09
2025-05-10,Enter the Void,2009,https://boxd.it/9E9WYX,3.5,,,2025-05-09
2025-05-11,Sunday,2008,https://boxd.it/9FiJCB,3.5,,,2025-05-11
2025-05-12,Black Friday,2004,https://boxd.it/9Fn3SR,4,,,2025-05-11
2025-05-14,Come and See,1985,https://boxd.it/9GEp6N,5,,,2025-05-14
2025-05-15,Dumb and Dumber,1994,https://boxd.it/9H8nSb,3.5,,,2025-05-14
2025-05-16,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/9HFf9t,4.5,Yes,,2025-05-15
2025-05-17,Captain America: Brave New World,2025,https://boxd.it/9I80An,3,,,2025-05-16
2025-05-18,Arrival,2016,https://boxd.it/9IL1aN,5,Yes,,2025-05-17
2025-05-20,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/9KodKZ,4,,"theater, pvr, imax",2025-05-19
2025-05-21,The Lobster,2015,https://boxd.it/9KE67X,3.5,,,2025-05-20
2025-05-22,The Lighthouse,2019,https://boxd.it/9L7w2n,3,,,2025-05-21
2025-05-25,Jaane Bhi Do Yaaro,1983,https://boxd.it/9MWm5x,5,,,2025-05-24
2025-05-25,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,https://boxd.it/9N0xBd,3.5,,,2025-05-25
2025-05-25,Lady Bird,2017,https://boxd.it/9NvRMd,4,,,2025-05-25
2025-05-26,The Darjeeling Limited,2007,https://boxd.it/9NA9Ct,4,,,2025-05-25
2025-05-30,The Hero,1966,https://boxd.it/9QfUhx,5,,,2025-05-29
2025-06-01,HIT: The Third Case,2025,https://boxd.it/9RsCCd,3.5,,,2025-05-31
2025-06-01,Love,2015,https://boxd.it/9RZsKn,3,,,2025-06-01
2025-06-06,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/9UsofV,2.5,Yes,,2025-06-03
2025-06-06,Ratatouille,2007,https://boxd.it/9UsoTV,5,,,2025-06-05
2025-06-06,Thudarum,2025,https://boxd.it/9Usqu9,3,,,2025-06-05
2025-06-08,Tourist Family,2025,https://boxd.it/9VHEoD,4.5,,,2025-06-07
2025-06-09,Stolen,2023,https://boxd.it/9Wi1hd,4,,,2025-06-08
2025-06-13,Children of Men,2006,https://boxd.it/9YNs6B,4.5,,,2025-06-12
2025-06-14,Roja,1992,https://boxd.it/9Zsez7,3,,,2025-06-13
2025-06-15,Kesari Chapter 2: The Untold Story of Jallianwala Bagh,2025,https://boxd.it/a065tT,4,,,2025-06-14
2025-06-15,"Monsters, Inc.",2001,https://boxd.it/a09QeH,4.5,,,2025-06-15
2025-06-16,Nayakan,1987,https://boxd.it/a0Ji1B,5,,,2025-06-15
2025-06-17,Ballerina,2025,https://boxd.it/a1sDFR,4,,,2025-06-16
2025-06-18,Final Destination Bloodlines,2025,https://boxd.it/a2bdzX,3,,,2025-06-17
2025-06-19,Terrifier 3,2024,https://boxd.it/a2KUdb,3,,,2025-06-18
2025-06-19,Whiplash,2014,https://boxd.it/a3bwfV,5,Yes,,2025-06-19
2025-06-22,Deewaar,1975,https://boxd.it/a4FaUV,5,Yes,,2025-06-21
2025-06-22,21 Jump Street,2012,https://boxd.it/a5aYHJ,4,,,2025-06-22
2025-06-22,The Machinist,2004,https://boxd.it/a5di21,4,,,2025-06-22
2025-06-24,22 Jump Street,2014,https://boxd.it/a68bXj,3.5,,,2025-06-23
2025-06-25,Pirates II: Stagnetti's Revenge,2008,https://boxd.it/a7gOX3,3,,,2025-06-25
2025-06-29,Return Of Hanuman,2007,https://boxd.it/a9MOlb,5,,,2025-06-29
2025-06-30,Two,1965,https://boxd.it/aaz4Gb,5,,,2025-06-30
2025-07-02,F1,2025,https://boxd.it/abnt6n,5,,"theater, pvr, imax",2025-07-01
2025-07-04,Raid 2,2025,https://boxd.it/acKRyv,3,,,2025-07-04
2025-07-08,In the Mood for Love,2000,https://boxd.it/ag4jC1,4,,,2025-07-08
2025-07-10,Shame,2011,https://boxd.it/agQPB1,4,,,2025-07-09
2025-07-12,Hereditary,2018,https://boxd.it/aigPBh,3,,,2025-07-11
