Date,Name,Year,Letterboxd URI
2026-03-29,Mardaani 2,2019,https://boxd.it/lL6Q
2026-03-30,Super Deluxe,2019,https://boxd.it/fjRW
2026-03-30,Dangal,2016,https://boxd.it/chfU
2026-03-31,Project Hail Mary,2026,https://boxd.it/pEeQ
2026-04-06,Mean Girls,2004,https://boxd.it/1VNg
2026-04-07,Desh Re Joya Dada Pardesh Joya,1998,https://boxd.it/MUvk
2026-04-08,Samay Raina: Still Alive,2026,https://boxd.it/127xe
2026-04-10,Race Gurram,2014,https://boxd.it/7N6A
2026-04-14,Last Film Show,2021,https://boxd.it/uWQy
2026-04-14,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A
2026-04-14,Ramaiya Vastavaiya,2013,https://boxd.it/6dYa
2026-04-14,Theri,2016,https://boxd.it/cPGq
2026-04-14,Don,2007,https://boxd.it/1Vc
2026-04-14,Baaghi 2,2018,https://boxd.it/hU5E
2026-04-15,RRR,2022,https://boxd.it/ljDs
2026-04-15,Jojo Rabbit,2019,https://boxd.it/iEBG
2026-04-22,NH10,2015,https://boxd.it/aOPW
2026-04-22,The Railway Men - The Untold Story of Bhopal 1984,2023,https://boxd.it/JJLq
2026-04-23,Vada Chennai,2018,https://boxd.it/esfK
2026-04-23,India's Daughter,2015,https://boxd.it/aIwu
2026-04-24,Assi,2026,https://boxd.it/T7pc
2026-04-26,Lootera,2013,https://boxd.it/69o8
2026-04-26,777 Charlie,2022,https://boxd.it/nw1g
2026-04-27,Lars and the Real Girl,2007,https://boxd.it/21tG
2026-05-10,Thappad,2020,https://boxd.it/oTrS
2026-05-10,The Drama,2026,https://boxd.it/OA2w
2026-05-14,Vaazha II,2026,https://boxd.it/PFzW
2026-05-20,The Exorcist,1973,https://boxd.it/1Yoo
2026-05-21,Madagascar: Escape 2 Africa,2008,https://boxd.it/1W2K
